,TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,MVMN_NM,VISIT_MM
2989,a_a001922,A01,a001922,대중교통 등,09
2990,a_a007318,A03,a007318,,10
2991,a_a007159,A03,a007159,자가용,10
2992,a_a015316,A03,a015316,자가용,10
2993,a_a017923,A03,a017923,,11
2994,a_a017803,A03,a017803,,11
2995,a_a015308,A01,a015308,대중교통 등,10
2996,a_a001272,A03,a001272,자가용,08
2997,a_a007380,A03,a007380,,10
2998,a_a004549,A02,a004549,대중교통 등,10
2999,a_a000704,A01,a000704,자가용,09
3000,a_a007971,A01,a007971,,10
3001,a_a007356,A03,a007356,,10
3002,a_a001999,A01,a001999,대중교통 등,09
3003,a_a002861,A03,a002861,대중교통 등,09
3004,a_a006579,A03,a006579,대중교통 등,10
3005,a_a002507,A03,a002507,자가용,09
3006,a_a002763,A03,a002763,자가용,09
3007,a_a006309,A01,a006309,,10
3008,a_a012519,A03,a012519,대중교통 등,10
3009,a_a017613,A01,a017613,,11
3010,a_a004752,A01,a004752,자가용,10
3011,a_a001851,A01,a001851,자가용,09
3012,a_a015096,A03,a015096,자가용,10
3013,a_a014891,A03,a014891,자가용,10
3014,a_a003647,A01,a003647,자가용,10
3015,a_a002884,A03,a002884,대중교통 등,09
3016,a_a000749,A03,a000749,대중교통 등,09
3017,a_a003876,A03,a003876,자가용,10
3018,a_a011478,A03,a011478,자가용,10
3019,a_a007960,A03,a007960,,10
3020,a_a007506,A01,a007506,대중교통 등,10
3021,a_a004294,A03,a004294,,10
3022,a_a017967,A03,a017967,,11
3023,a_a007334,A03,a007334,,10
3024,a_a009704,A03,a009704,대중교통 등,10
3025,a_a007363,A01,a007363,,10
3026,a_a000434,A01,a000434,대중교통 등,08
3027,a_a011175,A03,a011175,자가용,10
3028,a_a003481,A03,a003481,대중교통 등,10
3029,a_a006982,A03,a006982,대중교통 등,10
3030,a_a018082,A03,a018082,,11
3031,a_a001540,A03,a001540,자가용,09
3032,a_a017503,A01,a017503,,11
3033,a_a003322,A03,a003322,자가용,10
3034,a_a000664,A02,a000664,자가용,08
3035,a_a001337,A03,a001337,자가용,08
3036,a_a010290,A01,a010290,대중교통 등,10
3037,a_a006584,A03,a006584,자가용,10
3038,a_a017930,A01,a017930,,11
3039,a_a015619,A01,a015619,대중교통 등,11
3040,a_a006942,A03,a006942,자가용,10
3041,a_a013595,A03,a013595,자가용,10
3042,a_a000563,A03,a000563,자가용,08
3043,a_a007925,A01,a007925,,10
3044,a_a001645,A01,a001645,자가용,09
3045,a_a018089,A03,a018089,,11
3046,a_a008098,A03,a008098,자가용,10
3047,a_a010135,A03,a010135,자가용,10
3048,a_a009681,A01,a009681,대중교통 등,10
3049,a_a000546,A03,a000546,대중교통 등,08
3050,a_a017927,A01,a017927,,11
3051,a_a000567,A03,a000567,대중교통 등,09
3052,a_a014834,A02,a014834,대중교통 등,11
3053,a_a005290,A03,a005290,자가용,10
3054,a_a002513,A03,a002513,자가용,09
3055,a_a010341,A03,a010341,자가용,10
3056,a_a006566,A03,a006566,자가용,10
3057,a_a004303,A03,a004303,,10
3058,a_a018190,A01,a018190,,11
3059,a_a015261,A03,a015261,자가용,10
3060,a_a002064,A01,a002064,자가용,09
3061,a_a004042,A03,a004042,자가용,10
3062,a_a017742,A01,a017742,,11
3063,a_a017605,A03,a017605,,11
3064,a_a005997,A03,a005997,,10
3065,a_a005559,A03,a005559,대중교통 등,10
