,VISIT_ID,TRAVEL_ID,TRAVELER_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,VISIT_MM,TRAVEL_NM,MVMN_NM,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,NUMBER_OF_PERSON,CHILDREN,PARENTS,TRAVEL_PURPOSE,TRAVEL_MISSION
3662,1398,a_a001187,a001187,부평역사박물관,인천 부평구 삼산동 451-1,30.0,2,0.0,5.0,5.0,5.0,08,A02,대중교통 등,2,4,2,4,6,2,1.0,0.0,0.0,1;24;27;28;7;,1;24;27;28;7;
3663,2704,a_a000756,a000756,이마트 여주점,경기 여주시 홍문동 401,60.0,4,0.0,5.0,5.0,5.0,08,A03,자가용,6,2,6,5,5,5,3.0,0.0,0.0,21;22;23;27;4;,21;22;23;27;4;
3664,297,a_a000756,a000756,고래산구들 옆 계곡,경기도 여주시 북내면,30.0,1,0.0,5.0,5.0,5.0,08,A03,자가용,6,2,6,5,5,5,3.0,0.0,0.0,21;22;23;27;4;,21;22;23;27;4;
3665,298,a_a000756,a000756,고래산구들 옆 산양목장,경기도 여주시 북내면,30.0,13,0.0,5.0,5.0,5.0,08,A03,자가용,6,2,6,5,5,5,3.0,0.0,0.0,21;22;23;27;4;,21;22;23;27;4;
3666,2792,a_a009704,a009704,인도래작은도서관,경기 수원시 팔달구 인계동 961-16,120.0,3,0.0,5.0,5.0,4.0,10,A03,대중교통 등,1,3,3,1,2,7,1.0,0.0,0.0,21;22;26;4;,21;22;26;4;
3667,3752,a_a009704,a009704,화성행궁,경기 수원시 팔달구 남창동 6-2,30.0,2,1.0,5.0,5.0,5.0,10,A03,대중교통 등,1,3,3,1,2,7,1.0,0.0,0.0,21;22;26;4;,21;22;26;4;
3668,2130,a_a004171,a004171,아트센터화이트블럭,경기 파주시 탄현면 법흥리 1652-238,60.0,3,0.0,3.0,3.0,3.0,10,A03,자가용,2,1,2,1,4,6,3.0,0.0,0.0,1;21;23;24;6;,1;21;23;24;6;
3669,3177,a_a004171,a004171,충장근린체육공원 테니스장,경기 고양시 덕양구 행주내동 650-9,120.0,5,1.0,1.0,5.0,5.0,10,A03,자가용,2,1,2,1,4,6,3.0,0.0,0.0,1;21;23;24;6;,1;21;23;24;6;
3670,2004,a_a004171,a004171,시흥프리미엄아울렛,경기 시흥시 배곧동 36,60.0,4,1.0,4.0,4.0,4.0,10,A03,자가용,2,1,2,1,4,6,3.0,0.0,0.0,1;21;23;24;6;,1;21;23;24;6;
3671,208,a_a004171,a004171,갤러리모아,경기 파주시 탄현면 법흥리 1652-469,30.0,4,0.0,5.0,5.0,5.0,10,A03,자가용,2,1,2,1,4,6,3.0,0.0,0.0,1;21;23;24;6;,1;21;23;24;6;
3672,3752,a_a005715,a005715,화성행궁,경기 수원시 팔달구 남창동 6-2,60.0,2,0.0,4.0,4.0,4.0,10,A03,대중교통 등,4,2,5,3,2,6,2.0,0.0,0.0,22;3;4;,22;3;4;
3673,3589,a_a005715,a005715,행리단길,경기 수원시 팔달구 장안동 290-3,30.0,4,0.0,5.0,5.0,5.0,10,A03,대중교통 등,4,2,5,3,2,6,2.0,0.0,0.0,22;3;4;,22;3;4;
3674,3063,a_a005715,a005715,진미통닭,경기 수원시 팔달구 남수동 117-1,60.0,4,0.0,4.0,4.0,4.0,10,A03,대중교통 등,4,2,5,3,2,6,2.0,0.0,0.0,22;3;4;,22;3;4;
3675,1894,a_a005715,a005715,수원화성,경기 수원시 장안구 영화동 320-2,60.0,2,0.0,5.0,5.0,5.0,10,A03,대중교통 등,4,2,5,3,2,6,2.0,0.0,0.0,22;3;4;,22;3;4;
3676,1865,a_a005715,a005715,수원공방거리,경기 수원시 팔달구 남창동,30.0,4,0.0,5.0,5.0,5.0,10,A03,대중교통 등,4,2,5,3,2,6,2.0,0.0,0.0,22;3;4;,22;3;4;
3677,3726,a_a000736,a000736,화담숲,경기 광주시 도척면 도웅리 산 33,150.0,1,0.0,5.0,5.0,5.0,08,A03,자가용,1,1,3,6,3,5,3.0,0.0,0.0,2;22;26;27;6;,2;22;26;27;6;
3678,335,a_a000736,a000736,곤지암도자공원,경기 광주시 곤지암읍 삼리 72-1,60.0,1,0.0,5.0,4.0,4.0,08,A03,자가용,1,1,3,6,3,5,3.0,0.0,0.0,2;22;26;27;6;,2;22;26;27;6;
3679,1938,a_a008107,a008107,쉐이크쉑 아이파크몰용산점,서울 용산구 한강로3가 40-999,30.0,4,0.0,4.0,4.0,4.0,10,A01,대중교통 등,6,2,4,1,7,5,3.0,0.0,0.0,1;3;6;,1;3;6;
3680,3674,a_a008107,a008107,홈보이서울,서울 종로구 적선동 94,30.0,4,0.0,5.0,5.0,5.0,10,A01,대중교통 등,6,2,4,1,7,5,3.0,0.0,0.0,1;3;6;,1;3;6;
3681,100,a_a008107,a008107,SETEC,서울 강남구 대치동 514,60.0,3,0.0,4.0,4.0,4.0,10,A01,대중교통 등,6,2,4,1,7,5,3.0,0.0,0.0,1;3;6;,1;3;6;
3682,3141,a_a008107,a008107,청와대 본관,서울 종로구 세종로 1,60.0,2,0.0,4.0,4.0,3.0,10,A01,대중교통 등,6,2,4,1,7,5,3.0,0.0,0.0,1;3;6;,1;3;6;
3683,517,a_a008107,a008107,그랑핸드 서촌,서울 종로구 통의동 35-106,30.0,4,0.0,4.0,4.0,4.0,10,A01,대중교통 등,6,2,4,1,7,5,3.0,0.0,0.0,1;3;6;,1;3;6;
3684,507,a_a005337,a005337,궁평항수산물직판장,경기 화성시 서신면 궁평리 689,30.0,4,1.0,4.0,4.0,4.0,10,A03,자가용,2,5,2,3,3,3,3.0,0.0,0.0,1;,1;
3685,505,a_a005337,a005337,궁평의하루,경기 화성시 서신면 궁평리 688,30.0,4,0.0,3.0,3.0,2.0,10,A03,자가용,2,5,2,3,3,3,3.0,0.0,0.0,1;,1;
3686,455,a_a005619,a005619,국립과천과학관,경기 과천시 과천동 758,30.0,3,0.0,4.0,4.0,4.0,10,A03,,4,4,6,4,4,7,1.0,0.0,0.0,12;2;21;5;6;,12;2;21;5;6;
3687,1578,a_a005619,a005619,서울대공원,경기 과천시 막계동 159-1,300.0,6,1.0,5.0,5.0,5.0,10,A03,,4,4,6,4,4,7,1.0,0.0,0.0,12;2;21;5;6;,12;2;21;5;6;
3688,1629,a_a011565,a011565,서울식물원 기프트샵,서울 강서구 마곡동 812,0.0,6,0.0,4.0,3.0,3.0,10,A01,자가용,1,3,1,6,2,6,2.0,0.0,0.0,22;2;4;,22;2;4;
3689,1011,a_a011565,a011565,롯데몰 김포공항점,서울 강서구 방화동 886,30.0,4,1.0,4.0,4.0,4.0,10,A01,자가용,1,3,1,6,2,6,2.0,0.0,0.0,22;2;4;,22;2;4;
3690,1631,a_a011565,a011565,서울식물원 주제원,서울 강서구 마곡동 812,30.0,6,0.0,5.0,5.0,5.0,10,A01,자가용,1,3,1,6,2,6,2.0,0.0,0.0,22;2;4;,22;2;4;
3691,1627,a_a011565,a011565,서울식물원,서울 강서구 마곡동 727-256,30.0,6,1.0,5.0,5.0,5.0,10,A01,자가용,1,3,1,6,2,6,2.0,0.0,0.0,22;2;4;,22;2;4;
3692,1017,a_a011565,a011565,롯데백화점 김포공항점,서울 강서구 방화동 886,30.0,4,0.0,4.0,3.0,4.0,10,A01,자가용,1,3,1,6,2,6,2.0,0.0,0.0,22;2;4;,22;2;4;
3693,1627,a_a011565,a011565,서울식물원,서울 강서구 마곡동 727-256,60.0,6,0.0,5.0,5.0,5.0,10,A01,자가용,1,3,1,6,2,6,2.0,0.0,0.0,22;2;4;,22;2;4;
3694,1017,a_a011565,a011565,롯데백화점 김포공항점,서울 강서구 방화동 886,30.0,4,0.0,3.0,3.0,3.0,10,A01,자가용,1,3,1,6,2,6,2.0,0.0,0.0,22;2;4;,22;2;4;
3695,140,a_a007163,a007163,가천대학교 글로벌캠퍼스,경기 성남시 수정구 복정동 620-2,90.0,4,0.0,3.0,4.0,2.0,10,A01,대중교통 등,6,6,2,6,2,4,1.0,0.0,0.0,2;1;4;22;,2;1;4;22;
3696,1055,a_a007163,a007163,롯데월드 민속박물관,서울 송파구 잠실동 40-1,30.0,2,0.0,3.0,2.0,3.0,10,A01,대중교통 등,6,6,2,6,2,4,1.0,0.0,0.0,2;1;4;22;,2;1;4;22;
3697,1054,a_a007163,a007163,롯데월드,서울 송파구 잠실동 40-1,300.0,6,1.0,4.0,4.0,3.0,10,A01,대중교통 등,6,6,2,6,2,4,1.0,0.0,0.0,2;1;4;22;,2;1;4;22;
3698,1261,a_a006411,a006411,바운스트램폴린파크 삼성센터,서울 강남구 대치동 983-17,60.0,6,0.0,4.0,5.0,4.0,10,A01,대중교통 등,3,6,7,6,2,7,1.0,0.0,0.0,1;21;24;26;9;,1;21;24;26;9;
3699,870,a_a006411,a006411,동대문디자인플라자,서울 중구 을지로7가 2-1,60.0,8,0.0,4.0,3.0,4.0,10,A01,대중교통 등,3,6,7,6,2,7,1.0,0.0,0.0,1;21;24;26;9;,1;21;24;26;9;
3700,1440,a_a006411,a006411,블루스퀘어,서울 용산구 한남동 727-56,60.0,3,0.0,3.0,2.0,3.0,10,A01,대중교통 등,3,6,7,6,2,7,1.0,0.0,0.0,1;21;24;26;9;,1;21;24;26;9;
3701,2164,a_a017939,a017939,안성맞춤랜드 숲속공연장,경기 안성시 보개면 복평리 303-1,60.0,13,1.0,4.0,4.0,4.0,11,A03,,6,4,1,4,2,3,3.0,0.0,0.0,11;6;,11;6;
3702,2163,a_a017939,a017939,안성맞춤랜드,경기 안성시 보개면 복평리 294-2,60.0,3,1.0,5.0,5.0,5.0,11,A03,,6,4,1,4,2,3,3.0,0.0,0.0,11;6;,11;6;
3703,2165,a_a017939,a017939,안성맞춤랜드 잔디공원,경기 안성시 보개면 복평리 294-2,90.0,1,1.0,4.0,4.0,4.0,11,A03,,6,4,1,4,2,3,3.0,0.0,0.0,11;6;,11;6;
3704,2113,a_a000744,a000744,아침고요수목원,경기 가평군 상면 행현리 623-3,90.0,1,0.0,4.0,4.0,4.0,09,A03,자가용,2,4,3,2,2,6,2.0,0.0,0.0,21;8;,21;8;
3705,3677,a_a000744,a000744,홈플러스 면목점,서울 중랑구 면목동 168-2,30.0,4,1.0,4.0,4.0,3.0,09,A03,자가용,2,4,3,2,2,6,2.0,0.0,0.0,21;8;,21;8;
3706,1739,a_a003127,a003127,세븐일레븐 부평북부역점,인천 부평구 부평동 534-28,0.0,4,0.0,5.0,5.0,5.0,10,A02,대중교통 등,2,1,7,2,2,6,1.0,0.0,0.0,28;5;,28;5;
