,VISIT_AREA_ID,TRAVEL_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,VISIT_MM,VISIT_ID
5689,2210030001,a_a003779,어울림공원,경기 남양주시 별내동 988,120.0,1,0.0,5.0,4.0,4.0,10,2251
5694,2210010005,a_a004186,AK플라자 AKTown점,경기 수원시 팔달구 매산로1가 18,120.0,4,1.0,4.0,4.0,4.0,10,22
5695,2209120004,a_a001871,을왕리해수욕장,인천 중구 을왕동 746,30.0,1,1.0,5.0,5.0,5.0,09,2650
5699,2211110007,a_a017997,탑재산,경기 화성시 서신면 제부리 288-103,30.0,1,0.0,4.0,4.0,4.0,11,3280
5701,2210220005,a_a010215,밥할머니공원,경기 고양시 덕양구 동산동 374,30.0,1,0.0,5.0,5.0,5.0,10,1290
5703,2211120003,a_a017959,경기의왕 레일파크,경기 의왕시 월암동 525-9,90.0,13,0.0,5.0,4.0,5.0,11,251
5705,2210150007,a_a008648,임진각관광지 바람의언덕,경기 파주시 문산읍 마정리 1355,30.0,1,0.0,5.0,5.0,5.0,10,2886
5707,2210160001,a_a006133,설봉공원,경기 이천시 관고동 408-3,60.0,1,0.0,4.0,4.0,4.0,10,1710
5716,2210150003,a_a007654,안성팜랜드,경기 안성시 공도읍 신두리 451,90.0,6,1.0,4.0,4.0,5.0,10,2169
5718,2210150004,a_a007655,안양예술공원,경기 안양시 만안구 석수동 240-17,90.0,1,0.0,5.0,5.0,5.0,10,2177
5719,2210080003,a_a005640,빅토리아GC,경기 여주시 가남읍 송림리 214,210.0,5,1.0,4.0,4.0,4.0,10,1458
5721,2210290004,a_a015272,신세계백화점 본점,서울 중구 충무로1가 52-5,60.0,4,0.0,5.0,4.0,3.0,10,2031
5725,2210090002,a_a003668,춘향골,경기 성남시 중원구 성남동 4201,60.0,4,0.0,5.0,5.0,5.0,10,3172
5728,2210010002,a_a004755,안성맞춤랜드,경기 안성시 보개면 복평리 294-2,90.0,8,0.0,1.0,5.0,5.0,10,2163
5737,2211110006,a_a017904,경의선숲길공원,서울 용산구 용문동,60.0,1,0.0,4.0,3.0,3.0,11,269
5738,2210300003,a_a006309,하늘공원,서울 마포구 상암동 481-72,60.0,1,1.0,5.0,5.0,5.0,10,3484
5741,2208200005,a_a000201,롯데월드타워,서울 송파구 신천동 29,60.0,13,0.0,5.0,5.0,5.0,08,1061
5742,2208260006,a_a000574,문화역서울284,서울 중구 봉래동2가 122-28,60.0,2,0.0,5.0,5.0,5.0,08,1207
5743,2208150003,a_a000177,가나아트파크 어린이체험관,경기 양주시 장흥면 일영리 9-7,30.0,13,0.0,5.0,5.0,5.0,08,122
5744,2210290001,a_a011803,석촌호수 동호,서울 송파구 신천동 32,90.0,1,0.0,4.0,3.0,4.0,10,1692
5750,2209170003,a_a002195,가회동백인제가옥,서울 종로구 가회동 93-1,30.0,3,0.0,3.0,3.0,3.0,09,159
5754,2210120011,a_a007260,용연,경기 수원시 장안구 연무동 190,30.0,2,1.0,5.0,5.0,5.0,10,2515
5757,2210220004,a_a010227,근현대사기념관,서울 강북구 수유동 산 73-23,0.0,3,0.0,4.0,3.0,4.0,10,532
5760,2209290002,a_a002753,감고당길,서울 종로구 송현동 34-2,30.0,2,0.0,3.0,3.0,3.0,09,164
5763,2209120003,a_a002055,창덕궁,서울 종로구 와룡동 2-71,90.0,2,0.0,5.0,5.0,5.0,09,3084
5766,2210010001,a_a004251,선릉역 2호선,서울 강남구 삼성동 172-66,30.0,4,1.0,4.0,4.0,4.0,10,1702
5767,2209270001,a_a003476,캐리비안베이,경기 용인시 처인구 포곡읍 유운리 551-1,210.0,6,1.0,5.0,5.0,5.0,09,3203
5769,2208290005,a_a001035,홍대앞걷고싶은거리,서울 마포구 서교동 348-40,60.0,4,1.0,5.0,5.0,5.0,08,3709
5771,2210160003,a_a006507,물의정원,경기 남양주시 조안면 진중리 95,120.0,1,0.0,1.0,5.0,5.0,10,1211
5772,2209180001,a_a001741,롯데시네마 도곡,서울 강남구 도곡동 174-3,150.0,3,0.0,5.0,5.0,5.0,09,1037
5773,2210090005,a_a003593,수원종합운동장,경기 수원시 장안구 조원동 775,30.0,8,0.0,5.0,5.0,5.0,10,1886
5786,2210290002,a_a004999,아이파크몰,서울 용산구 한강로3가 40-999,30.0,4,1.0,4.0,4.0,4.0,10,2105
5789,2209280006,a_a003510,수원화성 서장대,경기 수원시 팔달구 남창동 55-23,30.0,2,0.0,5.0,5.0,5.0,09,1904
5795,2210080001,a_a006421,남한산성 행궁,경기 광주시 남한산성면 산성리 935-1,60.0,2,0.0,5.0,5.0,5.0,10,653
5796,2208270001,a_a000448,남산공원,서울 중구 예장동 산 5-6,30.0,7,0.0,5.0,5.0,5.0,08,627
5807,2210090002,a_a003282,테르메덴,경기 이천시 모가면 신갈리 360-4,570.0,6,0.0,4.0,4.0,4.0,10,3289
5813,2210100009,a_a003603,수원화성 북동포루,경기 수원시 장안구 영화동 145-12,0.0,2,0.0,4.0,4.0,4.0,10,1900
5815,2210310005,a_a010290,롯데월드 민속박물관,서울 송파구 잠실동 40-1,60.0,2,0.0,5.0,3.0,5.0,10,1055
5816,2210030004,a_a005621,방화수류정,경기 수원시 팔달구 매향동 151,30.0,2,0.0,5.0,5.0,5.0,10,1295
5817,2210220001,a_a010431,현대모터스튜디오 서울,서울 강남구 논현동 91,30.0,3,0.0,4.0,5.0,5.0,10,3624
5818,2210160002,a_a005094,시흥신세계아울렛,,180.0,4,1.0,4.0,4.0,4.0,10,2002
5819,2209250003,a_a003138,낙산공원,서울 종로구 동숭동 산 2-10,30.0,1,1.0,3.0,3.0,3.0,09,597
5820,2210020003,a_a002612,광화문광장 세종대왕동상,서울 종로구 세종로 1-68,30.0,3,0.0,4.0,4.0,4.0,10,416
5821,2210010005,a_a004006,헤이리예술마을,경기 파주시 탄현면 법흥리 1652-239,30.0,7,0.0,5.0,5.0,5.0,10,3621
5825,2210290002,a_a007939,제일평화시장,서울 중구 신당동 775,90.0,4,1.0,5.0,5.0,5.0,10,3001
5827,2210100003,a_a007124,화성상록GC,경기 화성시 중동 산 170,240.0,5,0.0,5.0,5.0,5.0,10,3743
5833,2209180004,a_a001826,파주헤이리마을 미지로의탐험,,60.0,13,0.0,5.0,5.0,5.0,09,3348
5839,2210280003,a_a014783,에버랜드,경기 용인시 처인구 포곡읍 전대리 310,720.0,6,1.0,4.0,4.0,5.0,10,2265
5842,2210010005,a_a004540,KFC 안양일번가점,경기 안양시 만안구 안양동 674-82,60.0,4,0.0,3.0,3.0,3.0,10,74
5843,2210020007,a_a005563,이태원 옷가게,,30.0,4,0.0,4.0,4.0,4.0,10,2773
5848,2208190008,a_a000497,행리단길,경기 수원시 팔달구 장안동 290-3,30.0,4,0.0,1.0,5.0,5.0,08,3589
5849,2211060004,a_a015323,타임스퀘어,서울 영등포구 영등포동4가 442,30.0,4,1.0,3.0,3.0,3.0,11,3269
5855,2209240002,a_a002145,시몬스 테라스점,경기 이천시 모가면 신갈리 374,180.0,3,0.0,4.0,2.0,4.0,09,1994
5856,2210240003,a_a010053,망원시장,서울 마포구 망원동 403-6,30.0,4,0.0,4.0,3.0,4.0,10,1118
5857,2210080003,a_a006074,명동거리,서울 중구 명동2가,90.0,4,1.0,5.0,5.0,5.0,10,1148
5860,2210010002,a_a004071,통인시장,서울 종로구 통인동 13-1,0.0,4,1.0,4.0,4.0,4.0,10,3305
5864,2208280004,a_a000990,서울도시건축전시관,서울 중구 태평로1가 60-6,30.0,3,0.0,4.0,4.0,4.0,08,1591
5866,2209240003,a_a002153,필룩스조명박물관,경기 양주시 광적면 석우리 633,60.0,2,0.0,5.0,5.0,5.0,09,3468
5880,2210240007,a_a009428,반포한강공원,서울 서초구 반포2동 115-5,60.0,1,0.0,4.0,4.0,4.0,10,1281
5895,2208250011,a_a000984,서울로7017,서울 중구 남대문로5가 67-4,60.0,7,0.0,5.0,3.0,4.0,08,1602
5896,2209020003,a_a000675,시흥오이도박물관,경기 시흥시 정왕동 2202-6,90.0,2,0.0,5.0,5.0,5.0,09,2003
5897,2209230003,a_a002201,이마트트레이더스 스타필드하남점,경기 하남시 신장동 616,30.0,4,1.0,4.0,4.0,5.0,09,2732
5901,2210080010,a_a006329,광진시장,,120.0,4,0.0,5.0,5.0,5.0,10,413
5902,2210010011,a_a004118,소래포구 해오름광장,인천 남동구 논현동 775,60.0,4,1.0,4.0,4.0,5.0,10,1776
5903,2211060003,a_a007770,라페스타,경기 고양시 일산동구 장항동 763-3,30.0,4,1.0,5.0,5.0,5.0,11,961
5906,2210300004,a_a013857,올리브영 구리수택사거리점,경기 구리시 수택동 424-28,30.0,4,0.0,5.0,4.0,4.0,10,2468
5917,2210270004,a_a012102,거북섬,경기 시흥시 정왕동 2726,30.0,7,0.0,4.0,4.0,4.0,10,222
5921,2211120003,a_a018026,송리단길,서울 송파구 송파동,180.0,4,1.0,5.0,5.0,5.0,11,1832
5922,2209230004,a_a002716,에버랜드,경기 용인시 처인구 포곡읍 전대리 310,120.0,6,1.0,5.0,5.0,5.0,09,2265
5935,2209040001,a_a001435,안흥지,경기 이천시 안흥동,30.0,1,0.0,5.0,5.0,5.0,09,2191
5941,2210240007,a_a003774,위크레페,서울 용산구 한강로3가 40-999,60.0,4,0.0,5.0,5.0,5.0,10,2604
5943,2211130005,a_a018225,전곡항마리나,경기 화성시 서신면 전곡리 1076,60.0,4,0.0,4.0,3.0,3.0,11,2958
5944,2209030008,a_a000949,여의도한강공원,서울 영등포구 여의도동 85,120.0,1,0.0,3.0,2.0,3.0,09,2324
5948,2211120010,a_a018013,메가박스 하남스타필드,경기 하남시 신장동 616,180.0,3,0.0,4.0,2.0,3.0,11,1140
5949,2209290009,a_a004071,서울한양도성 흥인지문구간,서울 중구 을지로7가 4-23,30.0,2,0.0,4.0,4.0,4.0,09,1669
5950,2210230007,a_a010406,메밀촌 두부마을,경기 양평군 용문면 신점리 294-1,30.0,7,1.0,3.0,2.0,3.0,10,1144
5953,2210010002,a_a004571,안성맞춤랜드,경기 안성시 보개면 복평리 294-2,510.0,8,1.0,4.0,3.0,5.0,10,2163
5954,2210030002,a_a002969,석파정,서울 종로구 부암동 201,90.0,2,0.0,5.0,3.0,5.0,10,1698
5956,2210310007,a_a014426,수원화성 서장대,경기 수원시 팔달구 남창동 55-23,30.0,2,0.0,4.0,4.0,4.0,10,1904
5965,2210300001,a_a014102,남한산성 행궁,경기 광주시 남한산성면 산성리 935-1,150.0,2,0.0,4.0,3.0,4.0,10,653
5966,2210090001,a_a004458,화담숲,경기 광주시 도척면 도웅리 산 33,240.0,1,0.0,4.0,4.0,4.0,10,3726
5969,2210210001,a_a003346,워커힐길,,90.0,7,0.0,5.0,5.0,5.0,10,2551
5970,2210230005,a_a007827,상동호수공원,,60.0,7,0.0,4.0,3.0,3.0,10,1508
5975,2209250007,a_a001939,남산야외식물원,서울 용산구 이태원2동 258-148,60.0,6,0.0,4.0,4.0,4.0,09,633
5976,2211120003,a_a018121,의정부역 행복로,경기 의정부시 의정부동 195-17,60.0,4,1.0,4.0,4.0,4.0,11,2668
