,Unnamed: 0,VISIT_ID,TRAVEL_ID,TRAVELER_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,VISIT_MM,TRAVEL_NM,MVMN_NM,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,NUMBER_OF_PERSON,CHILDREN,PARENTS,TRAVEL_PURPOSE,TRAVEL_MISSION,RATING,지역 문화예술/공연/전시시설 관람,쇼핑,SNS 인생샷 여행,호캉스 여행,"테마파크, 놀이시설, 동/식물원 방문",역사 유적지 방문,유흥/오락(나이트라이프),드라마 촬영지 방문,Well-ness 여행,신규 여행지 발굴,친환경 여행(플로깅 여행),시티투어,지역 축제/이벤트 참가,"야외 스포츠, 레포츠 활동",인플루언서 따라하기 여행,캠핑,온천/스파,교육/체험 프로그램 참가,종교/성지 순례,반려동물 동반 여행
3431,3431,1693,a_a008702,a008702,석촌호수 서호,서울 송파구 잠실동 47,60.0,1,1.0,5.0,5.0,5.0,10,A01,대중교통 등,2,1,6,2,2,6,2.0,0.0,0.0,4;6;,4;6;,16.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3432,3432,2561,a_a008702,a008702,원미종합시장,경기 부천시 원미동 93,60.0,4,1.0,5.0,5.0,5.0,10,A01,대중교통 등,2,1,6,2,2,6,2.0,0.0,0.0,4;6;,4;6;,16.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3433,3433,1239,a_a005400,a005400,미사호수공원,경기 하남시 망월동 776-3,90.0,1,0.0,5.0,5.0,5.0,10,A03,대중교통 등,2,1,3,2,2,4,1.0,0.0,0.0,1;2;21;5;9;,1;2;21;5;9;,16.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3434,3434,1971,a_a005400,a005400,스타필드 하남,경기 하남시 신장동 45-5,60.0,4,0.0,5.0,5.0,5.0,10,A03,대중교통 등,2,1,3,2,2,4,1.0,0.0,0.0,1;2;21;5;9;,1;2;21;5;9;,16.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3435,3435,3654,a_a002056,a002056,현대프리미엄아울렛 스페이스원,경기 남양주시 다산동 6141,60.0,4,1.0,5.0,5.0,5.0,9,A03,자가용,2,4,4,4,5,4,3.0,1.0,0.0,1;12;3;6;8;,1;12;3;6;8;,16.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3436,3436,2978,a_a002056,a002056,정약용유적지 생가,경기 남양주시 조안면 능내리 93-2,30.0,2,0.0,4.0,4.0,4.0,9,A03,자가용,2,4,4,4,5,4,3.0,1.0,0.0,1;12;3;6;8;,1;12;3;6;8;,13.2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3437,3437,2698,a_a002056,a002056,이마트 성수점,서울 성동구 성수동2가 333-16,90.0,4,1.0,5.0,5.0,5.0,9,A03,자가용,2,4,4,4,5,4,3.0,1.0,0.0,1;12;3;6;8;,1;12;3;6;8;,16.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3438,3438,2458,a_a002056,a002056,옥천레포츠공원,경기 양평군 옥천면 옥천리 771,60.0,1,0.0,4.0,4.0,4.0,9,A03,자가용,2,4,4,4,5,4,3.0,1.0,0.0,1;12;3;6;8;,1;12;3;6;8;,13.2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3439,3439,2055,a_a002056,a002056,실학박물관,경기 남양주시 조안면 능내리 27-1,30.0,2,0.0,4.0,4.0,4.0,9,A03,자가용,2,4,4,4,5,4,3.0,1.0,0.0,1;12;3;6;8;,1;12;3;6;8;,13.2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3440,3440,258,a_a002056,a002056,경복궁,서울 종로구 세종로 1-91,90.0,2,1.0,5.0,4.0,5.0,9,A03,자가용,2,4,4,4,5,4,3.0,1.0,0.0,1;12;3;6;8;,1;12;3;6;8;,15.7,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
