,TRAVELER_ID,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_ACCOMPANY
145,a015346,1,1,7,1,4,5,2인 가족 여행
146,a010009,4,5,3,5,5,5,나홀로 여행
147,a002280,2,1,4,2,3,5,2인 여행(가족 외)
148,a001605,3,4,3,4,3,4,나홀로 여행
149,a005347,1,2,4,6,3,5,2인 여행(가족 외)
150,a000117,3,2,1,2,6,6,나홀로 여행
151,a001983,2,2,5,4,3,7,나홀로 여행
152,a000302,4,4,4,4,4,4,자녀 동반 여행
153,a004736,3,2,5,4,3,5,자녀 동반 여행
154,a007024,2,3,2,4,2,4,3인 이상 여행(가족 외)
155,a017517,3,2,4,2,7,4,나홀로 여행
156,a002096,2,2,5,4,3,3,2인 여행(가족 외)
157,a007380,1,4,1,1,1,5,2인 여행(가족 외)
158,a005353,4,1,1,1,7,1,2인 여행(가족 외)
159,a004807,2,1,6,3,6,7,3대 동반 여행(친척 포함)
160,a006290,2,2,4,3,3,2,나홀로 여행
161,a006477,3,3,4,5,6,7,2인 여행(가족 외)
162,a000276,1,2,4,7,2,4,자녀 동반 여행
163,a017884,4,2,4,1,3,3,2인 여행(가족 외)
164,a004526,1,1,1,4,1,7,2인 여행(가족 외)
165,a002239,7,7,1,2,1,3,나홀로 여행
166,a002099,4,6,6,6,6,1,나홀로 여행
167,a007336,5,4,2,3,3,6,2인 여행(가족 외)
168,a005738,4,1,4,6,2,5,2인 여행(가족 외)
169,b012272,1,4,3,3,5,3,나홀로 여행
170,a006620,4,3,5,3,5,3,자녀 동반 여행
171,a008702,2,1,6,2,2,6,2인 여행(가족 외)
172,a015373,4,2,4,4,2,6,자녀 동반 여행
173,a004815,3,2,3,2,7,1,2인 가족 여행
174,a007953,1,6,2,2,6,4,2인 여행(가족 외)
175,a007764,2,3,5,1,3,7,나홀로 여행
176,a013994,6,4,5,5,5,5,나홀로 여행
177,a000513,3,1,5,2,3,5,자녀 동반 여행
178,a000362,1,2,4,2,1,6,3인 이상 여행(가족 외)
179,a006133,3,5,6,3,6,6,자녀 동반 여행
180,a004963,2,1,4,4,4,1,나홀로 여행
181,a017950,4,6,3,4,4,3,나홀로 여행
182,a006025,4,6,3,6,2,5,나홀로 여행
183,a011423,4,1,5,6,7,6,2인 여행(가족 외)
184,a012275,3,4,2,3,7,2,나홀로 여행
185,a015745,4,2,4,4,4,3,나홀로 여행
186,a013738,2,2,2,3,2,6,2인 여행(가족 외)
187,a007960,4,2,6,2,2,5,나홀로 여행
188,a003406,4,2,4,4,2,2,3대 동반 여행(친척 포함)
189,a002971,2,1,4,5,3,2,나홀로 여행
190,a001998,4,2,4,4,5,3,2인 여행(가족 외)
191,a003291,4,1,4,3,5,4,부모 동반 여행
192,a006519,2,4,2,6,6,6,2인 여행(가족 외)
193,a002054,2,4,2,4,4,6,2인 여행(가족 외)
194,a013588,4,3,6,4,1,6,나홀로 여행
195,a007653,2,1,2,2,1,7,2인 여행(가족 외)
196,a017979,4,3,1,4,1,7,2인 가족 여행
197,a004084,2,1,5,4,4,3,나홀로 여행
198,a007106,4,4,2,2,6,5,자녀 동반 여행
199,a002275,5,2,6,4,2,5,2인 여행(가족 외)
200,a010574,4,4,2,2,6,2,2인 여행(가족 외)
201,a002740,4,7,2,7,5,3,3대 동반 여행(친척 포함)
202,a014688,7,1,7,1,7,1,나홀로 여행
203,a009411,2,6,3,2,6,7,3인 이상 여행(가족 외)
204,a009683,3,3,2,3,5,4,2인 여행(가족 외)
205,a002674,4,3,4,3,6,5,자녀 동반 여행
206,a007603,6,1,5,7,2,7,2인 가족 여행
207,a006412,6,1,1,1,1,1,나홀로 여행
208,a011241,2,2,6,2,1,2,3인 이상 여행(가족 외)
209,a006279,1,3,3,4,5,2,2인 여행(가족 외)
210,a005399,4,1,6,4,1,4,자녀 동반 여행
211,a006636,1,1,6,2,2,2,2인 여행(가족 외)
212,a004541,4,2,5,5,2,6,3인 이상 여행(가족 외)
213,a002286,4,4,5,6,2,2,나홀로 여행
214,a002596,2,2,4,3,3,5,자녀 동반 여행
215,a000131,4,3,5,4,5,4,나홀로 여행
216,a001856,3,4,2,4,2,6,2인 가족 여행
217,a006351,1,1,1,1,7,1,2인 여행(가족 외)
218,a000087,4,1,1,4,2,4,자녀 동반 여행
219,a003961,2,1,4,3,1,7,2인 여행(가족 외)
220,a000341,6,2,1,1,6,6,나홀로 여행
221,a005179,6,3,6,2,7,7,자녀 동반 여행
222,a004818,5,3,3,3,2,4,3인 이상 여행(가족 외)
223,a008108,1,1,1,2,2,6,2인 여행(가족 외)
224,a005258,4,5,6,6,6,6,2인 가족 여행
225,a007643,2,3,1,4,2,3,2인 여행(가족 외)
226,a004599,1,5,3,3,7,6,2인 가족 여행
227,a007220,5,5,5,5,6,4,2인 여행(가족 외)
228,a015619,6,4,6,6,7,7,2인 여행(가족 외)
229,a002662,1,1,2,7,2,7,3대 동반 여행(친척 포함)
230,c011761,2,2,2,2,5,4,나홀로 여행
231,a011321,2,1,2,2,1,3,3대 동반 여행(친척 포함)
232,a008046,6,6,6,7,6,7,자녀 동반 여행
233,a002726,4,2,4,6,5,6,나홀로 여행
234,a017805,2,6,6,5,2,6,2인 여행(가족 외)
235,a009732,2,3,1,7,7,1,2인 여행(가족 외)
236,a001541,2,1,3,2,4,4,2인 가족 여행
237,a004309,3,2,5,4,5,6,나홀로 여행
238,a004683,1,3,2,5,5,5,자녀 동반 여행
239,a004727,2,5,2,2,6,3,3인 이상 여행(가족 외)
240,a000832,2,6,2,2,2,3,나홀로 여행
241,a000212,4,4,5,2,6,4,나홀로 여행
242,a017655,5,1,3,5,3,6,2인 여행(가족 외)
243,a009717,2,4,4,2,5,6,자녀 동반 여행
244,a006463,3,4,2,6,6,2,3대 동반 여행(친척 포함)
245,a010431,4,2,3,4,2,7,나홀로 여행
246,a000682,4,2,4,6,3,7,2인 여행(가족 외)
247,a015018,7,1,1,1,7,7,나홀로 여행
248,b007694,3,3,6,5,5,7,자녀 동반 여행
249,a001323,1,1,4,3,6,3,3인 이상 여행(가족 외)
250,a006581,5,3,3,6,2,6,나홀로 여행
251,a005568,2,2,4,5,3,5,2인 여행(가족 외)
252,a000483,4,2,4,3,6,3,2인 여행(가족 외)
