,VISIT_ID,TRAVEL_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,VISIT_MM
26831,823.0,a_a002988,더현대서울,서울 영등포구 여의도동 22,30.0,4,0.0,5.0,5.0,5.0,09
26835,934.0,a_a000269,등대해수욕장,강원 속초시 영랑동 1-9,60.0,1,1.0,5.0,5.0,5.0,08
26840,1211.0,a_a002102,물의정원,경기 남양주시 조안면 진중리 95,30.0,1,0.0,5.0,5.0,5.0,09
26841,80.0,a_a004696,LCDC서울,서울 성동구 성수동2가 275-28,30.0,4,0.0,4.0,4.0,4.0,10
26847,3579.0,a_a006985,해피주 동물카페 영통점,경기 수원시 영통구 영통동 998-9,60.0,13,0.0,3.0,2.0,3.0,10
26854,801.0,a_a000483,댕리단길,경기 안양시 만안구 안양동 873-5,30.0,4,0.0,3.0,3.0,3.0,08
26860,2338.0,a_a005754,역삼도서관,서울 강남구 역삼동 829-20,90.0,2,1.0,4.0,3.0,3.0,10
26861,645.0,a_a000041,남이섬 노래박물관,강원 춘천시 남산면 방하리 198-6,30.0,2,0.0,5.0,5.0,5.0,08
26864,1914.0,a_a007260,수원화성 화홍문,경기 수원시 팔달구 북수동 9000-1,0.0,2,1.0,4.0,4.0,4.0,10
26866,386.0,a_a009844,광릉,경기 남양주시 진접읍 부평리 산 99-2,60.0,2,1.0,5.0,5.0,5.0,10
26869,1971.0,a_a001764,스타필드 하남,경기 하남시 신장동 45-5,60.0,4,1.0,5.0,5.0,5.0,09
26870,1776.0,a_a011091,소래포구 해오름광장,인천 남동구 논현동 775,60.0,7,0.0,4.0,2.0,3.0,10
26871,3414.0,a_a002054,포천아트밸리,경기 포천시 신북면 기지리 282,30.0,1,1.0,4.0,4.0,4.0,09
26879,2809.0,a_a001983,인왕산,서울 종로구 옥인동 산 3-39,90.0,7,0.0,5.0,5.0,5.0,09
26880,3739.0,a_a001308,화성 어차 매표소,,60.0,2,0.0,4.0,3.0,3.0,09
26885,1068.0,c_c005398,롯데프리미엄아울렛 이천점,경기 이천시 호법면 단천리 864,30.0,4,0.0,5.0,5.0,5.0,10
26889,1418.0,a_a001353,북촌한옥마을,서울 종로구 가회동 31-31,60.0,7,1.0,5.0,4.0,5.0,08
26892,3766.0,a_a002612,환구단,서울 중구 소공동 87-14,0.0,7,0.0,4.0,4.0,4.0,09
26896,1777.0,a_a011091,소래포구전통어시장,인천 남동구 논현동 111-168,90.0,4,0.0,4.0,4.0,4.0,10
26898,1911.0,a_a002003,수원화성 화서문,경기 수원시 팔달구 장안동 331,30.0,2,0.0,3.0,3.0,3.0,10
26907,1156.0,a_a001305,명성황후생가,경기 여주시 능현동 250-2,60.0,2,0.0,3.0,3.0,3.0,09
26908,2519.0,a_a003782,용인백자축제,,30.0,8,0.0,2.0,2.0,2.0,10
26909,1796.0,a_a002740,소피텔 앰배서더 서울,서울 송파구 신천동 29-1,1410.0,4,0.0,5.0,4.0,4.0,09
26912,1693.0,a_a001141,석촌호수 서호,서울 송파구 잠실동 47,30.0,1,0.0,5.0,5.0,5.0,08
26914,602.0,a_a017928,낙원악기상가,서울 종로구 낙원동 284-6,30.0,4,1.0,4.0,4.0,4.0,11
26921,3716.0,a_a001618,홍대패션거리,서울 마포구 서교동 348-78,60.0,4,1.0,4.0,4.0,4.0,09
26924,1882.0,a_a005989,수원월드컵경기장,경기 수원시 팔달구 우만동 227,150.0,5,0.0,5.0,5.0,5.0,10
26930,829.0,a_a001926,덕수궁,서울 중구 정동 5-1,60.0,2,0.0,5.0,5.0,5.0,09
26931,3752.0,a_a013687,화성행궁,경기 수원시 팔달구 남창동 6-2,30.0,2,0.0,3.0,2.0,4.0,10
26932,3011.0,a_a002018,종로3가역 1호선,서울 종로구 종로3가 10-5,30.0,4,0.0,3.0,3.0,4.0,09
26933,342.0,a_a004458,곤지암리조트 스파라스파,경기 광주시 도척면 도웅리 540,120.0,6,0.0,2.0,2.0,2.0,10
26934,829.0,a_a009930,덕수궁,서울 중구 정동 5-1,60.0,2,0.0,5.0,5.0,5.0,10
26936,3787.0,a_a011119,효원공원 월화원,경기 수원시 팔달구 인계동 1117,60.0,1,0.0,3.0,4.0,4.0,10
