key,value
3313,평창보타닉가든
2072,아르떼뮤지엄 강릉
2836,주문진항
2140,알펜시아리조트 알파인코스터
2426,왕산한옥마을
52,KT&G상상마당 춘천
2217,에티오피아 한국전참전기념관
3129,춘천삼악산호수케이블카
3242,태화강국가정원
475,국립경주박물관
274,경주동궁원
2737,장생포고래박물관
2500,울산대공원
289,경주선덕여왕릉
2494,울산 대곡리반구대암각화
2518,울산해양박물관
727,능지탑지
93,간절곶
2925,진주성 / 진주 박물관
1226,물빛나루쉼터
2419,와인갤러리
3455,함안말이산고분군
1027,랄프깁슨 사진미술관
2090,아카
3711,흰여울 해안터널
3515,해운대전통시장
3127,춘천물레길
1405,봉포항
1229,물치리 해변
3410,하회마을
2098,안동 월영교
1364,병산사원
1743,선성현문화단지
2659,이육사문학관
2114,안동시립민속박물관
3688,후진항
1630,삼척장미공원
1129,맹방해수욕장
1115,망상해변
901,도깨비시장
1673,새천년해안유원지
2974,창원역사민속관
478,국립김해박물관 어린이박물관
477,국립김해박물관
2975,창원의집
1414,부경동물원
3165,칠곡양떼목장
2000,신동입석
3534,행화촌자연테마파크
2977,창평지
621,꿀벌나라테마공원
3012,철원병원
649,남가람 공원
2918,진주 레일바이크
2924,진주성
3569,호반전망대
2910,진양호공원
733,다대포해수욕장
3628,환호공원 스페이스워크
452,구룡포일본인가옥거리
189,갯마을차차차 촬영지
1560,사방기념공원
704,노동당사
3017,철원한탄강 주상절리길 순담매표소
1326,백마고지전적지
3483,해동용궁사
1063,롯데월드 어드벤처 부산
2695,임당동고분군
2259,영남대학교 박물관
1231,물치항방파제등대
642,낙산사
2797,정암해변
1179,무릉별유천지
2433,외옹치 바다향기로
1912,송지호해수욕장
1194,묵호항활어센터
2083,아야진해수욕장
969,동쪽바다중앙시장
1290,바우지움미술관
2674,인사동골동품거리
2992,천수교
2922,진주남강유등축제
504,국립진주박물관
173,강주연못
3099,촉석루
2909,진양호
328,경주황룡사지
2696,임당동성당
1808,세인트존스호텔
3541,허균허난설헌기념관
3191,커피커퍼박물관
3421,한국은행 강릉본부 화폐전시관
939,동명항
2806,제이마트
1552,사계절썰매장
777,대관령순수양떼목장
1907,송정해변
1961,스카이라인루지 부산
2534,워터하우스
3507,해운대블루라인파크 미포정거장
3062,청사포다릿돌전망대
152,강문해변
139,강릉월화거리
1162,모래시계공원
1783,섭죽마을
3685,효석달빛언덕
1232,물치해변
3201,코레일 낙산연수원
1004,등명락가사
2571,월정사
2667,이효석문학관
2781,정동심곡 바다부채길
2128,안반데기
2805,제이드가든수목원
1766,설악산소공원
2144,앙젤루스 소원테마파크
1868,속초등대해수욕장
2036,신흥사유물전시관
769,대게나라조개마을
1321,백도해변
1709,서프61
