,TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,MVMN_NM,VISIT_MM
1708,c_c011520,A03,c011520,0,10
1709,a_a004023,A01,a004023,2,09
1710,a_a010281,A01,a010281,2,10
1711,a_a007870,A03,a007870,1,10
1712,a_a006039,A03,a006039,0,10
1713,a_a001617,A03,a001617,2,09
1714,a_a001367,A03,a001367,1,08
1715,a_a012289,A03,a012289,2,10
1716,a_a017933,A03,a017933,0,11
1717,a_a003346,A01,a003346,1,10
1718,a_a006475,A03,a006475,1,10
1719,d_d004088,A01,d004088,2,10
1720,a_a008496,A01,a008496,2,10
1721,a_a003598,A03,a003598,2,10
1722,a_a002277,A03,a002277,1,09
1723,a_a002180,A03,a002180,2,09
1724,a_a000513,A03,a000513,1,08
1725,a_a001991,A02,a001991,2,09
1726,a_a000184,A03,a000184,1,08
1727,a_a003306,A03,a003306,1,10
1728,a_a002944,A03,a002944,2,10
1729,a_a005184,A02,a005184,0,10
1730,a_a003212,A01,a003212,2,09
1731,a_a004542,A02,a004542,1,10
1732,a_a014815,A03,a014815,2,10
1733,a_a002849,A03,a002849,1,09
1734,a_a000766,A03,a000766,1,08
1735,a_a016159,A01,a016159,1,11
1736,a_a002541,A03,a002541,1,09
1737,a_a005364,A01,a005364,1,10
1738,a_a006531,A03,a006531,2,10
1739,a_a002971,A01,a002971,2,09
1740,a_a001704,A01,a001704,2,09
1741,a_a001575,A01,a001575,2,09
1742,a_a014333,A03,a014333,2,10
1743,a_a012433,A03,a012433,1,10
1744,a_a007310,A01,a007310,0,10
1745,a_a003368,A03,a003368,2,09
1746,a_a009680,A03,a009680,1,10
1747,a_a006305,A03,a006305,0,10
1748,a_a008553,A03,a008553,2,10
1749,a_a001932,A03,a001932,2,09
1750,a_a006034,A01,a006034,0,10
1751,a_a001992,A01,a001992,2,09
1752,a_a002739,A03,a002739,2,10
1753,a_a006548,A01,a006548,0,10
1754,a_a012275,A02,a012275,2,10
1755,a_a005563,A01,a005563,1,10
1756,a_a015803,A01,a015803,2,11
1757,a_a000673,A03,a000673,1,08
1758,a_a005241,A03,a005241,1,10
1759,a_a002889,A01,a002889,2,09
1760,a_a001435,A03,a001435,1,09
1761,a_a003371,A03,a003371,1,10
1762,a_a003236,A03,a003236,1,10
1763,a_a007827,A03,a007827,2,10
1764,a_a007367,A03,a007367,0,10
1765,a_a013750,A03,a013750,1,10
1766,a_a007685,A01,a007685,1,10
1767,a_a011117,A01,a011117,2,10
1768,a_a003062,A01,a003062,1,09
1769,a_a003823,A03,a003823,1,10
1770,c_c002139,A01,c002139,2,09
1771,a_a015406,A02,a015406,2,10
1772,a_a001989,A01,a001989,1,09
1773,a_a018111,A03,a018111,0,11
1774,a_a009717,A03,a009717,1,10
1775,a_a002259,A01,a002259,2,09
1776,a_a002233,A01,a002233,2,09
1777,a_a006303,A01,a006303,0,10
1778,a_a002077,A01,a002077,2,09
1779,a_a018191,A01,a018191,0,11
1780,a_a002795,A03,a002795,1,09
1781,a_a011185,A01,a011185,2,10
1782,a_a002176,A01,a002176,2,09
1783,a_a017512,A03,a017512,0,11
1784,a_a000011,A03,a000011,1,08
1785,a_a010155,A02,a010155,1,10
1786,a_a005368,A03,a005368,1,10
1787,a_a006540,A01,a006540,0,10
1788,a_a004098,A03,a004098,1,10
1789,a_a001206,A03,a001206,2,08
1790,a_a009716,A01,a009716,2,10
1791,a_a008638,A03,a008638,1,10
1792,a_a006178,A03,a006178,1,10
1793,a_a012117,A03,a012117,1,10
1794,a_a006549,A03,a006549,0,10
1795,a_a000149,A03,a000149,1,08
1796,a_a003713,A03,a003713,1,09
1797,a_a005594,A03,a005594,1,10
1798,a_a010563,A02,a010563,1,10
1799,a_a015206,A03,a015206,1,10
1800,a_a017928,A01,a017928,0,11
1801,a_a002043,A03,a002043,1,09
1802,a_a006510,A03,a006510,1,10
1803,a_a006342,A03,a006342,1,10
1804,a_a000424,A03,a000424,1,08
1805,a_a003089,A01,a003089,2,09
1806,a_a002886,A01,a002886,2,10
1807,a_a002817,A03,a002817,1,09
1808,a_a010430,A01,a010430,2,10
1809,a_a010132,A01,a010132,2,10
1810,a_a000984,A01,a000984,2,08
1811,a_a009626,A03,a009626,2,10
1812,a_a002613,A01,a002613,2,10
1813,a_a002940,A03,a002940,1,09
1814,a_a001377,A03,a001377,1,08
1815,a_a007600,A03,a007600,0,10
1816,a_a000667,A03,a000667,1,08
1817,a_a003586,A03,a003586,1,10
1818,a_a004819,A03,a004819,1,10
1819,a_a012356,A01,a012356,2,10
1820,a_a006030,A03,a006030,0,10
1821,a_a000272,A01,a000272,1,08
1822,a_a004173,A01,a004173,2,10
1823,a_a017723,A01,a017723,0,11
1824,a_a007249,A03,a007249,0,10
1825,a_a003810,A01,a003810,1,10
1826,a_a001406,A01,a001406,1,09
1827,a_a002061,A01,a002061,1,09
1828,a_a005118,A01,a005118,2,10
1829,a_a002408,A03,a002408,1,09
1830,a_a001548,A01,a001548,1,08
1831,a_a000412,A03,a000412,1,08
1832,a_a013660,A01,a013660,2,10
1833,a_a006015,A01,a006015,0,10
1834,a_a003048,A03,a003048,2,10
1835,a_a017885,A03,a017885,0,11
1836,a_a008247,A01,a008247,2,10
1837,a_a017754,A01,a017754,0,11
1838,a_a000213,A03,a000213,1,08
1839,a_a007787,A03,a007787,1,10
1840,a_a012171,A03,a012171,2,10
1841,a_a017743,A03,a017743,0,11
1842,a_a000021,A01,a000021,2,09
1843,a_a007007,A03,a007007,1,10
1844,a_a008413,A03,a008413,1,11
1845,a_a007385,A01,a007385,0,10
1846,a_a006046,A03,a006046,0,10
1847,a_a000231,A03,a000231,1,09
1848,a_a000715,A02,a000715,2,08
1849,a_a006987,A01,a006987,2,10
1850,a_a009425,A03,a009425,1,10
1851,a_a004811,A03,a004811,1,10
1852,a_a017688,A01,a017688,0,11
1853,a_a002258,A01,a002258,2,09
1854,a_a003074,A03,a003074,1,09
1855,a_a001839,A03,a001839,1,09
1856,a_a017952,A01,a017952,0,11
1857,a_a005766,A03,a005766,1,10
1858,a_a006316,A03,a006316,2,10
1859,a_a010254,A03,a010254,1,10
1860,a_a003134,A03,a003134,1,09
1861,a_a017820,A01,a017820,0,11
1862,a_a007940,A01,a007940,0,10
1863,a_a008227,A03,a008227,1,10
1864,a_a018146,A03,a018146,0,11
1865,a_a004528,A02,a004528,1,10
1866,a_a002714,A03,a002714,2,10
1867,a_a001054,A03,a001054,1,08
1868,a_a018078,A03,a018078,0,11
1869,a_a004168,A01,a004168,2,10
1870,a_a002273,A03,a002273,1,09
1871,a_a009658,A03,a009658,1,10
1872,a_a005651,A03,a005651,0,10
1873,a_a018051,A01,a018051,0,11
1874,a_a005390,A03,a005390,1,10
1875,a_a007218,A03,a007218,0,10
1876,a_a004570,A03,a004570,1,10
1877,a_a006662,A03,a006662,1,10
1878,a_a005803,A01,a005803,1,10
1879,a_a005375,A03,a005375,2,10
1880,a_a005714,A03,a005714,1,11
1881,a_a005322,A01,a005322,2,10
1882,a_a000661,A01,a000661,2,08
1883,a_a010519,A01,a010519,2,10
1884,a_a015356,A03,a015356,2,10
1885,a_a001448,A01,a001448,2,08
1886,a_a017910,A03,a017910,0,11
1887,a_a018093,A01,a018093,0,11
1888,a_a001418,A03,a001418,2,09
1889,a_a008460,A01,a008460,2,10
1890,a_a001896,A01,a001896,2,09
1891,a_a010966,A01,a010966,1,10
1892,a_a007694,A03,a007694,2,10
1893,a_a001856,A03,a001856,1,09
1894,a_a007757,A03,a007757,2,10
1895,a_a004974,A03,a004974,1,10
1896,a_a008059,A03,a008059,1,11
1897,a_a005354,A01,a005354,2,10
1898,a_a008083,A03,a008083,1,10
1899,a_a007338,A03,a007338,0,10
1900,a_a015091,A03,a015091,1,10
1901,a_a010948,A03,a010948,1,10
1902,a_a001280,A03,a001280,1,09
1903,a_a010241,A01,a010241,1,10
1904,a_a002942,A01,a002942,1,09
1905,a_a003189,A03,a003189,1,10
1906,a_a000357,A01,a000357,1,08
1907,a_a018083,A03,a018083,0,11
1908,a_a010559,A01,a010559,1,10
1909,a_a005442,A03,a005442,2,10
1910,a_a002753,A01,a002753,2,09
1911,a_a005611,A01,a005611,0,10
1912,a_a011495,A01,a011495,2,10
1913,a_a017792,A03,a017792,0,11
1914,d_d009226,A03,d009226,2,11
1915,a_a005100,A03,a005100,2,10
1916,a_a009608,A03,a009608,1,10
1917,a_a014706,A03,a014706,1,10
1918,a_a014133,A03,a014133,1,10
1919,a_a010435,A03,a010435,1,10
1920,a_a006264,A03,a006264,1,10
1921,a_a005676,A03,a005676,0,10
1922,a_a010052,A03,a010052,1,10
1923,a_a005537,A03,a005537,1,10
1924,a_a018127,A01,a018127,0,11
1925,a_a004680,A01,a004680,0,10
1926,a_a002831,A01,a002831,2,10
1927,a_a002794,A03,a002794,1,09
1928,a_a005261,A03,a005261,1,10
1929,a_a005084,A03,a005084,2,10
1930,a_a018055,A03,a018055,0,11
