,VISIT_ID,TRAVEL_ID,TRAVELER_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RATING,VISIT_MM,MVMN_NM,TRAVEL_PURPOSE,TRAVEL_MISSION,TRAVEL_MM,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,NUMBER_OF_PERSON,CHILDREN,PARENTS
1888,2387,a_a007778,a007778,익선동한옥거리,서울 종로구 익선동,30.0,4,1.0,3.0,4.0,4.0,11.7,10,대중교통 등,3;22;4;12;26;6;7;,3;22;4;12;26;6;7;,10,2,3,6,4,2,7,2.0,0.0,0.0
1889,1580,a_a001157,a001157,송내로데오거리,경기 부천시 상동,30.0,4,0.0,4.0,4.0,4.0,13.2,09,대중교통 등,1;12;22;5;7;,1;12;22;5;7;,09,1,2,2,2,2,2,1.0,0.0,0.0
1890,19,a_a001157,a001157,AK플라자수원점 AK갤러리,경기 수원시 팔달구 매산로1가 18,30.0,4,0.0,5.0,5.0,5.0,16.5,09,대중교통 등,1;12;22;5;7;,1;12;22;5;7;,09,1,2,2,2,2,2,1.0,0.0,0.0
1891,612,a_a001157,a001157,노보텔앰배서더 수원,경기 수원시 팔달구 매산로1가 18-7,30.0,3,0.0,5.0,5.0,5.0,16.5,09,대중교통 등,1;12;22;5;7;,1;12;22;5;7;,09,1,2,2,2,2,2,1.0,0.0,0.0
1892,1931,a_a001157,a001157,양명교,경기 안양시 만안구 안양동,30.0,7,0.0,4.0,4.0,3.0,12.2,09,대중교통 등,1;12;22;5;7;,1;12;22;5;7;,09,1,2,2,2,2,2,1.0,0.0,0.0
1893,1283,a_a001157,a001157,삼덕공원,경기 안양시 만안구 안양동 782-19,0.0,1,0.0,4.0,3.0,3.0,11.4,09,대중교통 등,1;12;22;5;7;,1;12;22;5;7;,09,1,2,2,2,2,2,1.0,0.0,0.0
1894,1473,a_a017613,a017613,석촌호수산책길,서울 송파구 송파동,30.0,7,1.0,4.0,5.0,4.0,14.0,11,,1;21;6;,1;21;6;,11,3,4,5,5,3,4,2.0,0.0,0.0
1895,884,a_a017613,a017613,롯데시네마 월드타워,서울 송파구 신천동 29,150.0,3,0.0,4.0,4.0,4.0,13.2,11,,1;21;6;,1;21;6;,11,3,4,5,5,3,4,2.0,0.0,0.0
1896,2827,a_a001828,a001828,탑골공원,서울 종로구 종로2가 38-1,30.0,1,0.0,4.0,3.0,3.0,11.4,10,대중교통 등,1;3;4;5;7;,1;3;4;5;7;,10,7,1,1,7,7,7,2.0,0.0,0.0
1897,434,a_a001828,a001828,국립현대미술관 서울관,서울 종로구 소격동 165-10,30.0,3,0.0,4.0,5.0,5.0,15.0,10,대중교통 등,1;3;4;5;7;,1;3;4;5;7;,10,7,1,1,7,7,7,2.0,0.0,0.0
1898,695,a_a001828,a001828,대한민국역사박물관,서울 종로구 세종로 82-1,30.0,2,0.0,4.0,3.0,3.0,11.4,10,대중교통 등,1;3;4;5;7;,1;3;4;5;7;,10,7,1,1,7,7,7,2.0,0.0,0.0
1899,1829,a_a017570,a017570,아이파크몰,서울 용산구 한강로3가 40-999,30.0,4,1.0,3.0,3.0,3.0,9.9,11,,1;,1;,11,1,1,3,2,1,7,1.0,0.0,0.0
1900,813,a_a003394,a003394,드라마 아스달 연대기 오산세트장,경기 오산시 내삼미동 240,30.0,2,0.0,3.0,2.0,2.0,8.1,09,자가용,2;21;,2;21;,09,2,3,2,6,6,6,1.0,0.0,0.0
1901,1030,a_a003394,a003394,물향기수목원,경기 오산시 수청동 332-4,210.0,1,0.0,5.0,5.0,5.0,16.5,09,자가용,2;21;,2;21;,09,2,3,2,6,6,6,1.0,0.0,0.0
1902,2110,a_a003394,a003394,오산맑음터공원,경기 오산시 누읍동 115-1,30.0,1,0.0,3.0,3.0,3.0,9.9,09,자가용,2;21;,2;21;,09,2,3,2,6,6,6,1.0,0.0,0.0
1903,2150,a_a000506,a000506,올림픽공원,서울 송파구 방이동 88-3,630.0,1,0.0,4.0,3.0,4.0,12.4,08,대중교통 등,1;6;9;,1;6;9;,08,5,3,3,5,6,6,1.0,0.0,0.0
1904,1240,a_a000506,a000506,블루스퀘어 신한카드홀,서울 용산구 한남동 727-56,240.0,3,1.0,3.0,3.0,3.0,9.9,09,대중교통 등,1;6;9;,1;6;9;,08,5,3,3,5,6,6,1.0,0.0,0.0
1905,1471,a_a000506,a000506,석촌호수 서호,서울 송파구 잠실동 47,30.0,1,0.0,4.0,4.0,4.0,13.2,09,대중교통 등,1;6;9;,1;6;9;,08,5,3,3,5,6,6,1.0,0.0,0.0
1906,1240,a_a000506,a000506,블루스퀘어 신한카드홀,서울 용산구 한남동 727-56,210.0,3,1.0,5.0,3.0,3.0,12.9,09,대중교통 등,1;6;9;,1;6;9;,08,5,3,3,5,6,6,1.0,0.0,0.0
1907,891,a_a000506,a000506,롯데월드 샤롯데씨어터,서울 송파구 잠실동 40-1,240.0,6,1.0,3.0,4.0,4.0,11.7,09,대중교통 등,1;6;9;,1;6;9;,08,5,3,3,5,6,6,1.0,0.0,0.0
1908,2744,a_a000506,a000506,충무아트센터 대극장,서울 중구 흥인동 131,210.0,3,1.0,5.0,5.0,5.0,16.5,08,대중교통 등,1;6;9;,1;6;9;,08,5,3,3,5,6,6,1.0,0.0,0.0
1909,891,a_a000506,a000506,롯데월드 샤롯데씨어터,서울 송파구 잠실동 40-1,180.0,6,1.0,4.0,4.0,5.0,14.2,08,대중교통 등,1;6;9;,1;6;9;,08,5,3,3,5,6,6,1.0,0.0,0.0
1910,557,a_a000506,a000506,남산공원,서울 중구 예장동 산 5-6,90.0,7,1.0,3.0,4.0,3.0,10.7,08,대중교통 등,1;6;9;,1;6;9;,08,5,3,3,5,6,6,1.0,0.0,0.0
1911,1656,a_a011603,a011603,수원팔색길 화성성곽길,경기 수원시 장안구 연무동,90.0,2,0.0,4.0,4.0,4.0,13.2,10,자가용,2;3;6;,2;3;6;,10,2,2,2,3,2,5,1.0,0.0,0.0
1912,193,a_a011603,a011603,경기도박물관,경기 용인시 기흥구 상갈동 496,60.0,2,0.0,3.0,3.0,3.0,9.9,10,자가용,2;3;6;,2;3;6;,10,2,2,2,3,2,5,1.0,0.0,0.0
1913,3036,a_a011603,a011603,한국민속촌,경기 용인시 기흥구 보라동 107-1,180.0,6,0.0,4.0,5.0,5.0,15.0,10,자가용,2;3;6;,2;3;6;,10,2,2,2,3,2,5,1.0,0.0,0.0
1914,2790,a_a010954,a010954,콘텐츠박스,서울 종로구 동숭동 1-145,120.0,3,0.0,4.0,4.0,4.0,13.2,10,자가용,1;23;4;6;,1;23;4;6;,10,6,1,7,2,2,6,2.0,0.0,0.0
1915,530,a_a010954,a010954,낙산공원,서울 종로구 동숭동 산 2-10,30.0,2,0.0,4.0,3.0,4.0,12.4,10,자가용,1;23;4;6;,1;23;4;6;,10,6,1,7,2,2,6,2.0,0.0,0.0
1916,2021,a_a010954,a010954,여의도한강공원,서울 영등포구 여의도동 85,60.0,1,0.0,4.0,4.0,4.0,13.2,10,자가용,1;23;4;6;,1;23;4;6;,10,6,1,7,2,2,6,2.0,0.0,0.0
1917,223,a_a010954,a010954,경의선숲길,서울 마포구 동교동 190-1,30.0,7,0.0,4.0,3.0,4.0,12.4,10,자가용,1;23;4;6;,1;23;4;6;,10,6,1,7,2,2,6,2.0,0.0,0.0
1918,716,a_a010954,a010954,더현대서울,서울 영등포구 여의도동 22,30.0,4,0.0,5.0,4.0,5.0,15.7,10,자가용,1;23;4;6;,1;23;4;6;,10,6,1,7,2,2,6,2.0,0.0,0.0
