,TRAVELER_ID,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_ACCOMPANY,NUMBER_OF_PERSON,CHILDREN,PARENTS
1101,a012471,7,1,3,3,1,7,2인 여행(가족 외),2.0,0.0,0.0
1102,a002108,4,3,4,4,5,3,2인 여행(가족 외),2.0,0.0,0.0
1103,a005247,2,3,4,4,6,3,자녀 동반 여행,3.0,1.0,0.0
1104,a003864,1,2,4,6,1,7,2인 가족 여행,2.0,0.0,0.0
1105,a000104,7,6,6,6,3,3,2인 여행(가족 외),2.0,0.0,0.0
1106,a001167,7,1,7,1,1,1,3인 이상 여행(가족 외),3.0,0.0,0.0
1107,a002041,3,2,6,5,2,7,2인 여행(가족 외),2.0,0.0,0.0
1108,a006474,4,2,6,3,6,6,2인 여행(가족 외),2.0,0.0,0.0
1109,a004106,4,2,4,4,2,6,자녀 동반 여행,3.0,1.0,0.0
1110,a004662,4,5,4,5,5,5,3인 이상 여행(가족 외),3.0,0.0,0.0
1111,a010294,2,2,5,3,6,3,나홀로 여행,1.0,0.0,0.0
1112,a006409,2,3,4,5,2,5,나홀로 여행,1.0,0.0,0.0
1113,a001525,4,1,5,6,7,6,2인 여행(가족 외),2.0,0.0,0.0
1114,a000152,1,1,6,1,1,3,나홀로 여행,1.0,0.0,0.0
1115,a000574,5,2,6,6,2,2,2인 여행(가족 외),2.0,0.0,0.0
1116,a003837,4,2,4,4,2,4,3대 동반 여행(친척 포함),3.0,0.0,0.0
1117,a003235,7,7,1,7,1,7,2인 여행(가족 외),2.0,0.0,0.0
1118,a012131,1,1,1,1,2,6,2인 여행(가족 외),2.0,0.0,0.0
1119,a005195,3,5,1,5,5,2,나홀로 여행,1.0,0.0,0.0
1120,a007367,1,1,1,2,2,1,2인 가족 여행,2.0,0.0,0.0
1121,a002978,4,3,3,5,5,5,3인 이상 여행(가족 외),3.0,0.0,0.0
1122,a001288,6,3,3,2,2,4,나홀로 여행,1.0,0.0,0.0
1123,a002864,2,2,5,5,2,2,나홀로 여행,1.0,0.0,0.0
1124,a017828,1,6,1,6,4,7,부모 동반 여행,3.0,0.0,0.0
1125,a007013,6,1,5,3,5,6,2인 여행(가족 외),2.0,0.0,0.0
1126,a002824,2,1,3,2,6,5,2인 여행(가족 외),2.0,0.0,0.0
1127,a015329,3,5,3,5,4,4,3대 동반 여행(친척 포함),3.0,0.0,0.0
1128,a014772,4,5,1,5,5,6,2인 가족 여행,2.0,0.0,0.0
1129,a017704,2,2,4,4,4,5,자녀 동반 여행,3.0,1.0,0.0
1130,a006499,3,3,1,4,6,6,나홀로 여행,1.0,0.0,0.0
1131,a003062,1,1,2,2,6,1,2인 가족 여행,2.0,0.0,0.0
1132,a000223,2,1,5,1,2,4,2인 여행(가족 외),2.0,0.0,0.0
1133,a006303,3,2,3,6,5,5,2인 여행(가족 외),2.0,0.0,0.0
1134,a000647,4,4,4,4,4,4,2인 가족 여행,2.0,0.0,0.0
1135,a004884,1,1,1,2,6,4,2인 여행(가족 외),2.0,0.0,0.0
1136,a002992,2,2,1,2,6,1,나홀로 여행,1.0,0.0,0.0
1137,a014106,4,3,2,4,2,6,3인 이상 여행(가족 외),3.0,0.0,0.0
1138,a001736,5,3,6,5,4,2,나홀로 여행,1.0,0.0,0.0
1139,a006603,2,1,1,2,7,4,나홀로 여행,1.0,0.0,0.0
1140,a002353,5,1,6,1,6,5,2인 가족 여행,2.0,0.0,0.0
1141,a002335,1,3,4,3,3,2,자녀 동반 여행,3.0,1.0,0.0
1142,a002086,4,4,7,1,7,7,나홀로 여행,1.0,0.0,0.0
1143,a005156,5,1,5,4,4,7,2인 여행(가족 외),2.0,0.0,0.0
1144,a003658,5,2,3,5,1,3,3인 이상 여행(가족 외),3.0,0.0,0.0
1145,a006410,4,2,4,4,3,4,나홀로 여행,1.0,0.0,0.0
1146,a003597,4,2,7,2,6,3,2인 여행(가족 외),2.0,0.0,0.0
1147,a000286,1,1,6,2,1,7,자녀 동반 여행,3.0,1.0,0.0
1148,b004636,1,1,4,1,1,7,3인 이상 여행(가족 외),3.0,0.0,0.0
1149,a013847,3,3,4,4,4,5,나홀로 여행,1.0,0.0,0.0
1150,a005324,2,6,1,7,1,7,2인 가족 여행,2.0,0.0,0.0
1151,a002425,4,2,6,2,3,7,자녀 동반 여행,3.0,1.0,0.0
1152,a018235,1,2,1,5,7,2,나홀로 여행,1.0,0.0,0.0
1153,a006675,5,5,1,5,6,2,2인 여행(가족 외),2.0,0.0,0.0
1154,a000978,3,4,1,4,7,4,2인 여행(가족 외),2.0,0.0,0.0
1155,a003244,3,2,5,5,2,5,3인 이상 여행(가족 외),3.0,0.0,0.0
1156,a011117,2,1,6,1,6,7,나홀로 여행,1.0,0.0,0.0
1157,a002165,2,6,4,6,1,7,2인 여행(가족 외),2.0,0.0,0.0
1158,a012514,1,1,1,1,7,1,나홀로 여행,1.0,0.0,0.0
1159,a000195,4,5,5,5,5,7,나홀로 여행,1.0,0.0,0.0
1160,a001570,4,5,1,3,4,5,2인 가족 여행,2.0,0.0,0.0
1161,a000976,1,5,3,2,1,6,나홀로 여행,1.0,0.0,0.0
1162,a000796,3,5,3,2,6,3,2인 여행(가족 외),2.0,0.0,0.0
1163,a017990,4,2,7,2,1,2,2인 여행(가족 외),2.0,0.0,0.0
1164,a002033,4,2,3,2,2,7,나홀로 여행,1.0,0.0,0.0
1165,a000954,3,2,5,4,4,6,3인 이상 여행(가족 외),3.0,0.0,0.0
1166,a004458,2,2,3,6,5,6,2인 가족 여행,2.0,0.0,0.0
1167,a010122,7,1,1,6,1,2,나홀로 여행,1.0,0.0,0.0
1168,a000082,4,2,5,5,2,4,2인 여행(가족 외),2.0,0.0,0.0
1169,a004019,5,2,6,4,6,6,나홀로 여행,1.0,0.0,0.0
1170,a005200,6,4,1,4,5,5,나홀로 여행,1.0,0.0,0.0
1171,a001791,1,1,4,1,1,4,2인 여행(가족 외),2.0,0.0,0.0
1172,a005714,4,4,4,4,7,4,2인 여행(가족 외),2.0,0.0,0.0
1173,a005023,2,4,4,3,3,3,2인 여행(가족 외),2.0,0.0,0.0
1174,a003374,5,1,5,1,7,4,나홀로 여행,1.0,0.0,0.0
1175,a004483,4,3,2,3,6,3,나홀로 여행,1.0,0.0,0.0
1176,a011463,4,4,4,3,3,3,3대 동반 여행(친척 포함),3.0,0.0,0.0
1177,a007589,2,5,1,3,6,4,나홀로 여행,1.0,0.0,0.0
1178,a000714,2,1,3,3,5,3,2인 여행(가족 외),2.0,0.0,0.0
1179,a001875,1,1,1,5,6,7,2인 여행(가족 외),2.0,0.0,0.0
1180,a002616,4,4,1,6,1,4,2인 여행(가족 외),2.0,0.0,0.0
1181,a003345,2,1,6,6,1,5,나홀로 여행,1.0,0.0,0.0
1182,a006632,7,1,1,4,4,7,2인 여행(가족 외),2.0,0.0,0.0
1183,a005648,4,2,2,3,5,4,자녀 동반 여행,3.0,1.0,0.0
1184,a010328,2,1,4,2,2,6,2인 가족 여행,2.0,0.0,0.0
1185,a006726,4,2,7,1,5,3,나홀로 여행,1.0,0.0,0.0
1186,a011541,4,3,4,2,6,6,나홀로 여행,1.0,0.0,0.0
1187,a006868,2,2,4,1,6,5,나홀로 여행,1.0,0.0,0.0
1188,a001380,5,3,3,5,1,6,2인 여행(가족 외),2.0,0.0,0.0
1189,a007640,2,2,4,2,2,6,2인 여행(가족 외),2.0,0.0,0.0
1190,a017657,1,3,3,3,6,6,나홀로 여행,1.0,0.0,0.0
1191,a000902,1,7,7,1,5,1,자녀 동반 여행,3.0,1.0,0.0
1192,a002613,4,1,4,4,1,7,2인 여행(가족 외),2.0,0.0,0.0
1193,a003984,2,2,1,2,2,5,2인 여행(가족 외),2.0,0.0,0.0
1194,a006498,2,6,1,7,5,7,나홀로 여행,1.0,0.0,0.0
1195,a002387,5,1,4,5,5,1,2인 여행(가족 외),2.0,0.0,0.0
1196,a001138,2,2,3,6,2,2,2인 여행(가족 외),2.0,0.0,0.0
1197,a008111,3,3,1,6,2,4,2인 가족 여행,2.0,0.0,0.0
1198,a001295,2,3,2,4,5,5,자녀 동반 여행,3.0,1.0,0.0
1199,a001405,2,3,1,2,6,3,2인 여행(가족 외),2.0,0.0,0.0
1200,a001569,2,2,2,3,3,2,2인 여행(가족 외),2.0,0.0,0.0
1201,a017948,3,3,7,4,6,2,자녀 동반 여행,3.0,1.0,0.0
1202,b006746,3,1,3,5,5,7,3인 이상 여행(가족 외),3.0,0.0,0.0
1203,a006798,2,2,4,6,6,6,3인 이상 여행(가족 외),3.0,0.0,0.0
1204,a007361,7,7,4,6,1,7,나홀로 여행,1.0,0.0,0.0
1205,a001732,3,3,5,4,4,6,3인 이상 여행(가족 외),3.0,0.0,0.0
1206,a005107,5,4,4,4,4,4,나홀로 여행,1.0,0.0,0.0
1207,a000412,4,4,4,4,3,7,부모 동반 여행,3.0,0.0,0.0
1208,a006837,1,1,1,1,2,5,2인 여행(가족 외),2.0,0.0,0.0
1209,a017486,1,2,3,2,1,2,자녀 동반 여행,3.0,1.0,0.0
1210,a004101,4,6,6,3,4,5,2인 여행(가족 외),2.0,0.0,0.0
1211,b008142,4,3,3,3,5,4,2인 여행(가족 외),2.0,0.0,0.0
1212,a005241,6,2,1,4,3,6,나홀로 여행,1.0,0.0,0.0
1213,a003447,5,5,3,6,6,2,나홀로 여행,1.0,0.0,0.0
1214,a004099,4,2,3,2,5,3,2인 여행(가족 외),2.0,0.0,0.0
1215,a002589,1,2,1,2,7,2,자녀 동반 여행,3.0,1.0,0.0
1216,a004696,3,6,4,3,6,6,2인 여행(가족 외),2.0,0.0,0.0
1217,a017941,3,1,6,2,1,5,나홀로 여행,1.0,0.0,0.0
1218,a008035,2,6,3,6,6,2,3대 동반 여행(친척 포함),3.0,0.0,0.0
1219,a002376,4,3,3,3,3,6,나홀로 여행,1.0,0.0,0.0
1220,a009729,4,3,5,6,3,3,2인 여행(가족 외),2.0,0.0,0.0
1221,a015115,2,2,5,4,6,5,나홀로 여행,1.0,0.0,0.0
1222,a005711,2,1,4,4,1,6,3인 이상 여행(가족 외),3.0,0.0,0.0
1223,a001892,7,1,1,4,4,3,자녀 동반 여행,3.0,1.0,0.0
1224,a005857,2,3,3,5,3,4,나홀로 여행,1.0,0.0,0.0
1225,a017885,4,2,6,2,6,5,부모 동반 여행,3.0,0.0,0.0
1226,a002708,2,3,2,5,2,3,2인 여행(가족 외),2.0,0.0,0.0
1227,a002966,4,3,2,5,2,5,나홀로 여행,1.0,0.0,0.0
1228,a008206,4,4,3,5,1,7,2인 여행(가족 외),2.0,0.0,0.0
1229,a002739,4,2,4,6,5,6,나홀로 여행,1.0,0.0,0.0
1230,a007026,2,4,5,5,3,2,나홀로 여행,1.0,0.0,0.0
1231,a010159,2,2,3,3,5,6,2인 여행(가족 외),2.0,0.0,0.0
1232,a009699,1,1,4,6,2,5,3인 이상 여행(가족 외),3.0,0.0,0.0
1233,a008638,2,5,2,2,1,2,자녀 동반 여행,3.0,1.0,0.0
1234,a014677,4,2,2,3,2,6,2인 여행(가족 외),2.0,0.0,0.0
1235,a003546,4,2,6,4,2,6,2인 여행(가족 외),2.0,0.0,0.0
1236,a001934,2,2,4,6,4,3,부모 동반 여행,3.0,0.0,0.0
1237,a010563,5,4,6,5,2,6,3인 이상 여행(가족 외),3.0,0.0,0.0
1238,a006513,2,3,2,3,1,3,2인 가족 여행,2.0,0.0,0.0
1239,a001671,2,2,2,1,4,3,나홀로 여행,1.0,0.0,0.0
1240,a014834,6,2,2,6,6,7,나홀로 여행,1.0,0.0,0.0
1241,a004740,4,2,4,6,2,3,2인 여행(가족 외),2.0,0.0,0.0
1242,a015266,1,4,1,4,4,3,2인 여행(가족 외),2.0,0.0,0.0
1243,a005643,4,5,7,5,2,7,자녀 동반 여행,3.0,1.0,0.0
1244,a002701,4,4,4,4,4,4,3인 이상 여행(가족 외),3.0,0.0,0.0
1245,a002780,1,2,2,2,2,1,나홀로 여행,1.0,0.0,0.0
1246,a001982,2,3,5,5,2,3,나홀로 여행,1.0,0.0,0.0
1247,a006316,1,1,6,2,7,6,나홀로 여행,1.0,0.0,0.0
1248,a000984,5,3,5,5,5,5,나홀로 여행,1.0,0.0,0.0
1249,a012496,3,3,2,2,5,4,나홀로 여행,1.0,0.0,0.0
1250,a002600,1,7,2,6,2,7,3인 이상 여행(가족 외),3.0,0.0,0.0
1251,a003721,7,1,7,7,3,6,나홀로 여행,1.0,0.0,0.0
1252,a017911,2,4,4,4,4,3,나홀로 여행,1.0,0.0,0.0
1253,a005420,1,1,1,1,7,5,나홀로 여행,1.0,0.0,0.0
1254,a005777,5,2,4,6,2,6,2인 여행(가족 외),2.0,0.0,0.0
1255,a005673,2,1,5,3,1,5,2인 여행(가족 외),2.0,0.0,0.0
1256,a005868,3,3,5,5,3,5,자녀 동반 여행,3.0,1.0,0.0
1257,a002055,2,6,3,6,6,3,3대 동반 여행(친척 포함),3.0,0.0,0.0
1258,a018039,2,3,2,3,3,6,2인 여행(가족 외),2.0,0.0,0.0
1259,a003048,7,1,4,6,5,6,2인 가족 여행,2.0,0.0,0.0
1260,a003698,3,1,6,4,2,7,2인 여행(가족 외),2.0,0.0,0.0
1261,a014719,4,4,4,4,4,4,나홀로 여행,1.0,0.0,0.0
1262,a000112,4,2,6,5,5,7,나홀로 여행,1.0,0.0,0.0
1263,a000906,3,5,3,6,3,6,2인 가족 여행,2.0,0.0,0.0
1264,a005316,4,2,3,2,4,2,나홀로 여행,1.0,0.0,0.0
1265,a003225,1,5,6,1,6,2,2인 여행(가족 외),2.0,0.0,0.0
1266,a006990,1,1,1,7,7,4,2인 여행(가족 외),2.0,0.0,0.0
1267,a006854,1,2,4,2,6,4,2인 여행(가족 외),2.0,0.0,0.0
1268,a008561,1,2,5,3,4,4,나홀로 여행,1.0,0.0,0.0
1269,a018240,1,4,4,4,7,7,3인 이상 여행(가족 외),3.0,0.0,0.0
1270,a001297,7,3,4,4,5,3,나홀로 여행,1.0,0.0,0.0
1271,a009466,4,2,4,4,6,4,2인 가족 여행,2.0,0.0,0.0
1272,a009427,4,3,5,4,3,3,2인 여행(가족 외),2.0,0.0,0.0
1273,a005956,1,1,1,1,4,7,2인 여행(가족 외),2.0,0.0,0.0
1274,a005346,7,1,7,1,3,7,나홀로 여행,1.0,0.0,0.0
1275,a000949,3,2,2,6,6,6,3인 이상 여행(가족 외),3.0,0.0,0.0
