,VISIT_AREA_ID,TRAVEL_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,VISIT_MM,VISIT_ID,RATING
23253,2209250003,a_a002892,별내동 카페거리,경기 남양주시 별내동 946-7,60.0,4,1.0,1.0,4.0,4.0,09,1336,8.7
23257,2211080006,d_d008179,신포국제시장,인천 중구 신포동 3-2,60.0,4,1.0,4.0,4.0,4.0,11,2048,13.2
23258,2208300003,a_a001261,킨텍스 제2전시장,경기 고양시 일산서구 대화동 2700,180.0,3,0.0,5.0,5.0,5.0,08,3262,16.5
23260,2211100005,a_a017627,한강공원삼패지구,경기 남양주시 삼패동,30.0,1,0.0,4.0,4.0,4.0,11,3511,13.2
23264,2210260002,a_a007013,화담숲,경기 광주시 도척면 도웅리 산 33,180.0,1,0.0,5.0,4.0,5.0,10,3726,15.7
23265,2210290003,a_a011106,수산공원,경기 김포시 대곶면 대명리 484-9,30.0,1,0.0,4.0,4.0,3.0,10,1855,12.2
23268,2210150007,a_a004030,블루아이즈,인천 연수구 송도동 21-64,90.0,3,0.0,4.0,3.0,4.0,10,1444,12.4
23269,2210290004,a_a011493,그라운드시소 서촌,서울 종로구 통의동 35-17,90.0,4,0.0,5.0,5.0,5.0,10,512,16.5
23270,2210230005,c_c005232,수원화성 장안문 안내소,경기 수원시 팔달구 장안동 1-1,30.0,2,0.0,5.0,5.0,5.0,10,1907,16.5
23271,2210090004,a_a003335,더현대서울,서울 영등포구 여의도동 22,180.0,4,0.0,4.0,4.0,4.0,10,823,13.2
23272,2210090002,a_a006718,스타필드 고양,경기 고양시 덕양구 동산동 370,60.0,4,1.0,5.0,5.0,4.0,10,1966,15.5
23273,2211050005,a_a014884,창신골목시장,서울 종로구 창신동 570-3,30.0,4,0.0,4.0,4.0,4.0,11,3093,13.2
23274,2208280004,a_a000131,인천차이나타운,인천 중구 북성동2가 14,60.0,4,1.0,5.0,5.0,5.0,08,2852,16.5
23276,2209100004,a_a002165,청계산,경기 과천시 막계동 산 35,240.0,1,0.0,5.0,5.0,5.0,09,3120,16.5
23278,2208270007,a_a001405,자라섬,경기 가평군 가평읍 달전리 30,180.0,8,0.0,5.0,5.0,5.0,08,2900,16.5
